Invoice_ID,Invoice_Header,Invoice_Year,Invoice_Amount,Invoice_Vendor,Invoice_Due_Date,Invoice_Vendor_City
0101800036_2018_IT10,0101800036,2018,1146.00,VND05013,2018-03-31,
0101800040_2018_IT10,0101800040,2018,247800.00,VND07983,2018-04-20,
0101800083_2018_IT10,0101800083,2018,1920.00,VND05899,2018-05-30,
0101800095_2018_IT10,0101800095,2018,4566.00,VND05237,2018-05-29,Rome
0101800155_2018_IT10,0101800155,2018,52756.36,VND07857,2018-07-11,
0101800157_2018_IT10,0101800157,2018,88409.52,VND07857,2018-07-31,
0101800167_2018_IT10,0101800167,2018,41053.15,VND05135,2018-10-05,
0101800211_2018_IT10,0101800211,2018,51576.33,VND07857,2018-09-25,
0101800212_2018_IT10,0101800212,2018,82952.63,VND07857,2018-10-30,
0111800019_2018_IT10,0111800019,2018,4627.61,VND06375,2018-04-28,
0111800021_2018_IT10,0111800021,2018,2380.00,VND07089,2018-04-30,
0111800042_2018_IT10,0111800042,2018,145179.76,VND07089,2018-07-12,
0111800049_2018_IT10,0111800049,2018,145179.76,VND07089,2018-07-26,
0111800051_2018_IT10,0111800051,2018,34500.00,VND07643,2018-08-19,
0111800060_2018_IT10,0111800060,2018,34500.00,VND07643,2018-09-16,
0111800062_2018_IT10,0111800062,2018,1735.33,VND05847,2018-08-13,
0111800063_2018_IT10,0111800063,2018,1735.33,VND05847,2018-08-13,
0111800064_2018_IT10,0111800064,2018,24990.00,VND07089,2018-07-18,
0111800065_2018_IT10,0111800065,2018,17850.00,VND07089,2018-09-20,
0111800066_2018_IT10,0111800066,2018,14875.00,VND07089,2018-08-31,
0111800067_2018_IT10,0111800067,2018,59500.00,VND07089,2018-07-27,
0111800068_2018_IT10,0111800068,2018,19040.00,VND07089,2018-07-26,
0111800073_2018_IT10,0111800073,2018,34500.00,VND07643,2018-11-03,
0111800074_2018_IT10,0111800074,2018,34500.00,VND07643,2018-08-25,
0111800081_2018_IT10,0111800081,2018,145179.76,VND07089,2018-10-30,
0111800084_2018_IT10,0111800084,2018,68425.00,VND06375,2018-09-30,
0111800089_2018_IT10,0111800089,2018,5375.21,VND06375,2018-11-09,
0111800090_2018_IT10,0111800090,2018,4627.61,VND06375,2018-10-08,
0111800091_2018_IT10,0111800091,2018,2918.07,VND06375,2018-11-09,
0111800094_2018_IT10,0111800094,2018,2261.00,VND06375,2018-12-18,
0111800095_2018_IT10,0111800095,2018,11106.27,VND06375,2018-12-18,
0111800096_2018_IT10,0111800096,2018,34500.00,VND07643,2018-12-25,
0111800098_2018_IT10,0111800098,2018,2776.57,VND06375,2018-11-20,
0111800099_2018_IT10,0111800099,2018,145180.00,VND07089,2018-12-22,
0111800107_2018_IT10,0111800107,2018,14875.00,VND07089,2018-12-30,
0111800109_2018_IT10,0111800109,2018,758625.00,VND07089,2018-12-09,
0111800110_2018_IT10,0111800110,2018,1356.60,VND07089,2018-12-20,
0131800005_2018_IT10,0131800005,2018,2440.68,VND06818,2017-12-19,
0131800011_2018_IT10,0131800011,2018,3324.00,VND04579,2018-03-14,
0131800020_2018_IT10,0131800020,2018,1858.16,VND06818,2018-05-10,
0131800038_2018_IT10,0131800038,2018,825218.34,VND05758,2018-07-15,
0131800039_2018_IT10,0131800039,2018,951966.11,VND05758,2018-07-15,
0131800042_2018_IT10,0131800042,2018,3241.48,VND07598,2018-08-04,
0131800043_2018_IT10,0131800043,2018,-3241.48,VND07598,2018-08-04,
0131800044_2018_IT10,0131800044,2018,3241.48,VND07598,2018-08-04,
0131800047_2018_IT10,0131800047,2018,2524.24,VND06295,2018-05-13,
0131800048_2018_IT10,0131800048,2018,1705.60,VND05676,2018-07-22,
0131800056_2018_IT10,0131800056,2018,151373.49,VND05758,2018-09-30,
0131800057_2018_IT10,0131800057,2018,186713.61,VND05758,2018-09-30,
0131800058_2018_IT10,0131800058,2018,13717.16,VND05758,2018-09-30,
0131800063_2018_IT10,0131800063,2018,257050.70,VND05758,2018-08-13,
0131800064_2018_IT10,0131800064,2018,360510.73,VND05758,2018-09-30,
0131800067_2018_IT10,0131800067,2018,2039.92,VND05847,2018-10-17,
0131800069_2018_IT10,0131800069,2018,407420.39,VND05758,2018-11-30,
0131800070_2018_IT10,0131800070,2018,171163.62,VND05758,2018-11-30,
2017030262_2017_IT10,2017030262,2017,1602.00,VND05820,2018-01-31,Moscow
2017030542_2017_IT10,2017030542,2017,39284.00,VND04728,2018-02-28,Beijing
2017030879_2017_IT10,2017030879,2017,963.80,VND04681,2018-02-27,
2017030918_2017_IT10,2017030918,2017,10500.40,VND05141,2018-02-28,Rome
2017030927_2017_IT10,2017030927,2017,915.00,VND04213,2018-02-28,
2017030929_2017_IT10,2017030929,2017,2928.00,VND04213,2018-02-28,
2017030958_2017_IT10,2017030958,2017,838.14,VND06576,2018-02-28,Milan
2017030961_2017_IT10,2017030961,2017,838.14,VND06576,2018-02-28,Milan
2017030996_2017_IT10,2017030996,2017,300.00,VND04115,2018-02-28,Berlin
2017030999_2017_IT10,2017030999,2017,470.00,VND04115,2018-02-28,Berlin
2018000003_2018_IT10,2018000003,2018,390.16,VND04404,2018-03-03,Dusseldorf
2018000004_2018_IT10,2018000004,2018,390.16,VND04404,2018-03-03,Dusseldorf
2018000005_2018_IT10,2018000005,2018,390.16,VND04404,2018-03-03,Dusseldorf
2018000006_2018_IT10,2018000006,2018,390.16,VND04404,2018-03-03,Dusseldorf
2018000008_2018_IT10,2018000008,2018,392.59,VND04404,2018-03-03,Dusseldorf
2018000009_2018_IT10,2018000009,2018,3.65,VND04404,2018-03-03,Dusseldorf
2018000010_2018_IT10,2018000010,2018,392.43,VND04404,2018-03-03,Dusseldorf
2018000011_2018_IT10,2018000011,2018,394.10,VND04404,2018-03-03,Dusseldorf
2018000012_2018_IT10,2018000012,2018,362.97,VND04404,2018-03-03,Dusseldorf
2018000013_2018_IT10,2018000013,2018,483.96,VND04404,2018-03-03,Dusseldorf
2018000016_2018_IT10,2018000016,2018,691.00,VND07187,2018-01-03,Dusseldorf
2018000017_2018_IT10,2018000017,2018,692.00,VND07187,2018-01-03,Dusseldorf
2018000018_2018_IT10,2018000018,2018,754.80,VND07187,2018-01-03,Dusseldorf
2018000019_2018_IT10,2018000019,2018,692.00,VND07187,2018-01-03,Dusseldorf
2018000021_2018_IT10,2018000021,2018,262.73,VND05088,2018-01-03,Beijing
2018000022_2018_IT10,2018000022,2018,241.97,VND05088,2018-01-03,Beijing
2018000023_2018_IT10,2018000023,2018,322.64,VND05088,2018-01-03,Beijing
2018000025_2018_IT10,2018000025,2018,261.62,VND05088,2018-01-03,Beijing
2018000026_2018_IT10,2018000026,2018,2.42,VND05088,2018-01-03,Beijing
2018000027_2018_IT10,2018000027,2018,260.10,VND05088,2018-01-03,Beijing
2018000028_2018_IT10,2018000028,2018,260.10,VND05088,2018-01-03,Beijing
2018000029_2018_IT10,2018000029,2018,260.10,VND05088,2018-01-03,Beijing
2018000030_2018_IT10,2018000030,2018,1.63,VND05088,2018-01-03,Beijing
2018000036_2018_IT10,2018000036,2018,763.05,VND04611,2018-02-02,
2018000065_2018_IT10,2018000065,2018,9849.14,VND05098,2018-02-28,
2018000115_2018_IT10,2018000115,2018,-403114.40,VND05602,2018-02-22,
2018000118_2018_IT10,2018000118,2018,-50630.00,VND07071,2018-04-20,Rome
2018000123_2018_IT10,2018000123,2018,650.00,VND05565,2018-01-05,Milan
2018000124_2018_IT10,2018000124,2018,631.88,VND04567,2018-01-09,Moscow
2018000127_2018_IT10,2018000127,2018,260.10,VND05088,2018-01-03,Beijing
2018000129_2018_IT10,2018000129,2018,-390.16,VND05088,2017-12-01,Beijing
2018000152_2018_IT10,2018000152,2018,530.88,VND05269,2018-03-31,
2018000153_2018_IT10,2018000153,2018,301.78,VND05269,2018-03-31,
2018000160_2018_IT10,2018000160,2018,1032.00,VND04064,2018-02-02,Dusseldorf
2018000161_2018_IT10,2018000161,2018,832.00,VND04064,2018-02-02,Dusseldorf
2018000165_2018_IT10,2018000165,2018,492.00,VND07179,2018-03-12,
2018000186_2018_IT10,2018000186,2018,1460.00,VND07461,2018-02-14,
2018000207_2018_IT10,2018000207,2018,940.00,VND06175,2018-04-11,
2018000221_2018_IT10,2018000221,2018,4496.54,VND05098,2018-02-28,
2018000235_2018_IT10,2018000235,2018,1197.55,VND06626,2018-03-31,
2018000236_2018_IT10,2018000236,2018,819.96,VND07940,2018-03-31,
2018000245_2018_IT10,2018000245,2018,2990.00,VND06927,2018-02-12,
2018000247_2018_IT10,2018000247,2018,761.00,VND05772,2018-02-12,
